"";"comment";"commenting_person_id";"negative_score";"comment_id";"article_name";"positive_score";"time";"date";"article_id"
"1296";"Samozřejmě, že bychom měli uprchlíkum pomoci. Nedokážu si představit jinou variantu...
";89511;"−11";69982797;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";6;"11:59";"12.1.2015";"A150107_135359_domaci_fer"
"1297";"a kdo jiný si to může dovolit? ČR je ve světovém měřítku velmi bohatá země.
";93207;"−1";69982796;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";2;"11:59";"12.1.2015";"A150107_135359_domaci_fer"
"1298";"Rozhodně potřebujeme taky trochu obohatit.<img class=""smiley"" src=""http://gidnes.cz/u/disk/smile1.gif"" alt="":-P"">
";77700;"0";69982792;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";2;"11:59";"12.1.2015";"A150107_135359_domaci_fer"
"1299";"Stát má co dělat, aby se postaral o vlastní občany..rozhodně to není naší povinností, jak píšete výše.
";28141;"−1";69982781;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";5;"11:59";"12.1.2015";"A150107_135359_domaci_fer"
"1300";"NE NE NE. Raději vypadat neschopně a mít vnitřní klid, nežli vypadat schopně a mít potenciálně vyvražděny desítky lidí. NE. Tudy cesta nevede. Vytvořme jim podmínky tam u nich. Zcela jistě ty možnosti již dneska jsou. Nač tahat problémy sem když je lze řešit u nich.<img class=""smiley"" src=""http://gidnes.cz/u/disk/krik2.gif"" alt=""!!""><img class=""smiley"" src=""http://gidnes.cz/u/disk/krik2.gif"" alt=""!!"">
";76271;"−4";69982759;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";12;"11:57";"12.1.2015";"A150107_135359_domaci_fer"
"1301";"bylo by moc troufalé Vás požádat, abyste svůj názor nějak zdůvodnil?
";93207;"−2";69982731;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";2;"11:57";"12.1.2015";"A150107_135359_domaci_fer"
"1302";"žiji ve Francii a mohu-li říct svůj názor, který vychází ze zkušeností, tak rozhodně NE.
Zaděláme na pořádný problém svým dětem a vnukům......
";24382;"−6";69982717;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";99;"11:56";"12.1.2015";"A150107_135359_domaci_fer"
"1303";"Uprchlíky ano - teroristy ne.
";54343;"−1";69982701;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";1;"11:55";"12.1.2015";"A150107_135359_domaci_fer"
"1304";"""Kapacitu na přijetí uprchlíků Česko má.""
Tohle je ale přece naprosto marginální!
";90306;"−4";69982670;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";0;"11:53";"12.1.2015";"A150107_135359_domaci_fer"
"1305";"Za mě určitě ano. Myslím, že je naší povinnosti přijímat lidi, které z domovů vyhnala válka. Ať už věří v Boha, Alláha, Buddhu nebo třeba Lítající špagetové monstrum, na tom nezáleží.
";93207;"−20";69982666;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";7;"11:52";"12.1.2015";"A150107_135359_domaci_fer"
"1306";"ne
";10496;"−7";69982641;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";113;"11:51";"12.1.2015";"A150107_135359_domaci_fer"
"1307";"Množství sice je symbolické, ale taky může symbolicky vyjadřovat, že jsme ochotní přijímat další muslimské uprchlíky.
";31508;"0";69983189;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";4;"12:16";"12.1.2015";"A150107_135359_domaci_fer"
"1308";"...""ze zemí""...
";74979;"0";69983181;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";0;"12:16";"12.1.2015";"A150107_135359_domaci_fer"
"1309";"Počkejme si na uprchlíky ze západní Evropy. Na rodilé Švédy, Francouze nebo Angličany. Pak jim můžeme oplatit stejnou mincí jako oni pomohli těm co utíkali z totalitního Československa.
";79292;"−1";69983179;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";130;"12:16";"12.1.2015";"A150107_135359_domaci_fer"
"1310";"Nevím kolik lidí z Česka od r. 48 do roku 89 emigrovalo do Sýrie. Předpokládám, že jich mnoho nebylo. Hlavně proto, že kultura v evropských zemích, ale i v Kanadě, Austrálii a jinde, kam emigrovali, je hodně podobná té naší. A logicky by tedy emigranti ze Sýrie měli emigrovat do zemí s kulturou podobnou té jejich.
";42335;"−1";69983177;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";42;"12:16";"12.1.2015";"A150107_135359_domaci_fer"
"1311";"Milý pane, rád budu snášet od Vás i Vám podobným invektivy a klidně si mně mějte za omezence. Já nebudu ten, který bude podporovat rozvrat naší tradiční evropské společnosti. Bohužel, za katastrofální stav v  zemích jako je FRA, SWE, GB apod. jsou spoluodpovědní lidé co mají názory jako Vy.
";7881;"0";69983174;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";3;"12:16";"12.1.2015";"A150107_135359_domaci_fer"
"1312";"V Rusku jsou imigrantů ze zemích bývalého SSSR miliony.
";74979;"0";69983168;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";0;"12:15";"12.1.2015";"A150107_135359_domaci_fer"
"1313";"Ten argument pro je ve stylu ""skočme z okna,ostatní skáčou taky"".
";54367;"−2";69983166;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";46;"12:15";"12.1.2015";"A150107_135359_domaci_fer"
"1314";"To byla reakce na pana veselého, nějak se to špatně zařadilo...
";53434;"0";69983158;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";0;"12:15";"12.1.2015";"A150107_135359_domaci_fer"
"1315";"<img class=""smiley"" src=""http://gidnes.cz/u/disk/rukaon.gif"" alt=""R^""><img class=""smiley"" src=""http://gidnes.cz/u/disk/srdce1.gif"" alt=""V"">
";44462;"0";69983156;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";1;"12:15";"12.1.2015";"A150107_135359_domaci_fer"
"1316";"Jde o lidi z Kosova tudíž to mohou být Kosovští srbové ti mají rozhodně dost důvodů utíkat... <img class=""smiley"" src=""http://gidnes.cz/u/disk/smile2.gif"" alt="";-)"">
";69644;"0";69983148;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";0;"12:14";"12.1.2015";"A150107_135359_domaci_fer"
"1317";"Ale ano rozporujete to vy a vám podobní např. zde : http://zpravy.idnes.cz/okamura-podnecuje-nenavist-rika-sef-muslimske-unie-kamenovani-haji-1f9-/domaci.aspx?c=A150105_125720_domaci_kop
";33311;"0";69983143;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";0;"12:14";"12.1.2015";"A150107_135359_domaci_fer"
"1318";"díky všem za kladné hlasy - jsem potěšen, že to s námi není tak beznadějné a musím se přiznat, že jsem jich tolik nečekal.
";93207;"0";69983142;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";0;"12:14";"12.1.2015";"A150107_135359_domaci_fer"
"1319";"<img class=""smiley"" src=""http://gidnes.cz/u/disk/rukaon.gif"" alt=""R^""><img class=""smiley"" src=""http://gidnes.cz/u/disk/smile4.gif"" alt="";-D"">
";44462;"0";69983141;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";0;"12:14";"12.1.2015";"A150107_135359_domaci_fer"
"1320";"No tak ten argument PRO mi nepřipadne příliš pádný.
";99832;"0";69983140;"PRO A PROTI: Mělo by Česko přijmout uprchlíky ze Sýrie?";2;"12:14";"12.1.2015";"A150107_135359_domaci_fer"
