"";"date";"tag";"time";"article_name";"main";"article_id"
"63";"2015-12-14";"Krize na Ukrajinì";"10:03";"Øeeme si pod sebou vìtev, øíká o uprchlické krizi polskı exministr";1;"A151208_2210861_zahranicni_ert"
"64";"2015-12-14";"Majdan";"10:03";"Øeeme si pod sebou vìtev, øíká o uprchlické krizi polskı exministr";1;"A151208_2210861_zahranicni_ert"
"65";"2015-12-14";"Pøíliv uprchlíkù do Evropy";"10:03";"Øeeme si pod sebou vìtev, øíká o uprchlické krizi polskı exministr";1;"A151208_2210861_zahranicni_ert"
"66";"2015-12-14";"Angela Merkelová";"10:03";"Øeeme si pod sebou vìtev, øíká o uprchlické krizi polskı exministr";0;"A151208_2210861_zahranicni_ert"
"67";"2015-12-14";"Evropská unie";"10:03";"Øeeme si pod sebou vìtev, øíká o uprchlické krizi polskı exministr";0;"A151208_2210861_zahranicni_ert"
"68";"2015-12-14";"Fond";"10:03";"Øeeme si pod sebou vìtev, øíká o uprchlické krizi polskı exministr";0;"A151208_2210861_zahranicni_ert"
"69";"2015-12-14";"Radoslaw Sikorski";"10:03";"Øeeme si pod sebou vìtev, øíká o uprchlické krizi polskı exministr";0;"A151208_2210861_zahranicni_ert"
"140";"2015-12-11";"Pøíliv uprchlíkù do Evropy";"07:31";"Dnešek si budeme pamatovat, vítal první z tisícù uprchlíkù kanadskı premiér";1;"A151211_065251_zahranicni_ale"
"141";"2015-12-11";"celníci";"07:31";"Dnešek si budeme pamatovat, vítal první z tisícù uprchlíkù kanadskı premiér";0;"A151211_065251_zahranicni_ale"
"142";"2015-12-11";"evropskı parlament";"07:31";"Dnešek si budeme pamatovat, vítal první z tisícù uprchlíkù kanadskı premiér";0;"A151211_065251_zahranicni_ale"
"143";"2015-12-11";"Justin Trudeau";"07:31";"Dnešek si budeme pamatovat, vítal první z tisícù uprchlíkù kanadskı premiér";0;"A151211_065251_zahranicni_ale"
"144";"2015-12-11";"Kanada";"07:31";"Dnešek si budeme pamatovat, vítal první z tisícù uprchlíkù kanadskı premiér";0;"A151211_065251_zahranicni_ale"
"145";"2015-12-11";"Øecko";"07:31";"Dnešek si budeme pamatovat, vítal první z tisícù uprchlíkù kanadskı premiér";0;"A151211_065251_zahranicni_ale"
"196";"2015-12-11";"Pøíliv uprchlíkù do Evropy";"14:36";"Rakouskı plot proti migrantùm bude dìravı, proti stavbì brojí vinaøi";1;"A151211_142000_zahranicni_ale"
"197";"2015-12-11";"Evropská unie";"14:36";"Rakouskı plot proti migrantùm bude dìravı, proti stavbì brojí vinaøi";0;"A151211_142000_zahranicni_ale"
"198";"2015-12-11";"Hranièní pøechod";"14:36";"Rakouskı plot proti migrantùm bude dìravı, proti stavbì brojí vinaøi";0;"A151211_142000_zahranicni_ale"
"199";"2015-12-11";"Rakousko";"14:36";"Rakouskı plot proti migrantùm bude dìravı, proti stavbì brojí vinaøi";0;"A151211_142000_zahranicni_ale"
"372";"2015-12-14";"Pøíbìh uprchlíka";"06:27";"Evropská unie neví, co s nechtìnımi uprchlíky. Deportace problém neøeší";1;"A151211_2211626_zahranicni_ert"
"373";"2015-12-14";"Pøíliv uprchlíkù do Evropy";"06:27";"Evropská unie neví, co s nechtìnımi uprchlíky. Deportace problém neøeší";1;"A151211_2211626_zahranicni_ert"
"379";"2015-12-14";"Církev";"06:27";"Evropská unie neví, co s nechtìnımi uprchlíky. Deportace problém neøeší";0;"A151211_2211626_zahranicni_ert"
