"";"date";"tag";"time";"article_name";"main";"article_id"
"24";"2015-09-03";"Pøíliv uprchlíkù do Evropy";"15:18";"Policie u nebude èíslovat migranty fixou, dostanou speciální pásek";1;"A150903_143936_domaci_ale"
"25";"2015-09-03";"Milan Chovanec";"15:18";"Policie u nebude èíslovat migranty fixou, dostanou speciální pásek";0;"A150903_143936_domaci_ale"
"26";"2015-09-03";"Uprchlíci";"15:18";"Policie u nebude èíslovat migranty fixou, dostanou speciální pásek";0;"A150903_143936_domaci_ale"
"68";"2015-09-13";"Pøíliv uprchlíkù do Evropy";"10:57";"Do Maïarska dorazilo za jedinı den 4330 uprchlíkù. Do Mnichova pøes 12000";1;"A150913_110002_zahranicni_lve"
"69";"2015-09-13";"Svìt";"10:57";"Do Maïarska dorazilo za jedinı den 4330 uprchlíkù. Do Mnichova pøes 12000";0;"A150913_110002_zahranicni_lve"
"70";"2015-09-13";"Uprchlíci";"10:57";"Do Maïarska dorazilo za jedinı den 4330 uprchlíkù. Do Mnichova pøes 12000";0;"A150913_110002_zahranicni_lve"
"71";"2015-09-13";"Viktor Orbán";"10:57";"Do Maïarska dorazilo za jedinı den 4330 uprchlíkù. Do Mnichova pøes 12000";0;"A150913_110002_zahranicni_lve"
"75";"2015-09-13";"Pøíliv uprchlíkù do Evropy";"15:49";"Rakouská policie zachránila 42 uprchlíkù z chladícího vozu";1;"A150913_154922_zahranicni_san"
"76";"2015-09-13";"Evropa";"15:49";"Rakouská policie zachránila 42 uprchlíkù z chladícího vozu";0;"A150913_154922_zahranicni_san"
"77";"2015-09-13";"Krimi / Èerná kronika ";"15:49";"Rakouská policie zachránila 42 uprchlíkù z chladícího vozu";0;"A150913_154922_zahranicni_san"
"78";"2015-09-13";"Uprchlíci";"15:49";"Rakouská policie zachránila 42 uprchlíkù z chladícího vozu";0;"A150913_154922_zahranicni_san"
"79";"2015-09-13";"Pøíliv uprchlíkù do Evropy";"17:00";"Nìmecko znovu zavádí hranièní kontroly, zastavilo vlaky z Rakouska";1;"A150913_163652_zahranicni_san"
"80";"2015-09-13";"Svìt";"17:00";"Nìmecko znovu zavádí hranièní kontroly, zastavilo vlaky z Rakouska";0;"A150913_163652_zahranicni_san"
"81";"2015-09-13";"Uprchlíci";"17:00";"Nìmecko znovu zavádí hranièní kontroly, zastavilo vlaky z Rakouska";0;"A150913_163652_zahranicni_san"
"91";"2015-09-10";"Pøíliv uprchlíkù do Evropy";"08:03";"Dánské dráhy obnovily spojení s Nìmeckem, zastavili je bìenci";1;"A150910_080546_hradec-zpravy_lve"
"92";"2015-09-10";"Dánsko";"08:03";"Dánské dráhy obnovily spojení s Nìmeckem, zastavili je bìenci";0;"A150910_080546_hradec-zpravy_lve"
"93";"2015-09-10";"Uprchlíci";"08:03";"Dánské dráhy obnovily spojení s Nìmeckem, zastavili je bìenci";0;"A150910_080546_hradec-zpravy_lve"
"126";"2015-09-01";"Pøíliv uprchlíkù do Evropy";"09:24";"Maïarsko uzavøelo nádraí. „Nìmecko, Nìmecko,“ volali zklamaní bìenci";1;"A150901_083741_zahranicni_aba"
"127";"2015-09-01";"Uprchlíci";"09:24";"Maïarsko uzavøelo nádraí. „Nìmecko, Nìmecko,“ volali zklamaní bìenci";0;"A150901_083741_zahranicni_aba"
"144";"2015-09-01";"Pøíliv uprchlíkù do Evropy";"18:47";"Sobotka nabídl Bìlehradu deset milionù na øešení uprchlické krize";1;"A150901_184621_domaci_hro"
"145";"2015-09-01";"Bohuslav Sobotka";"18:47";"Sobotka nabídl Bìlehradu deset milionù na øešení uprchlické krize";0;"A150901_184621_domaci_hro"
"146";"2015-09-01";"Evropská unie";"18:47";"Sobotka nabídl Bìlehradu deset milionù na øešení uprchlické krize";0;"A150901_184621_domaci_hro"
"153";"2015-09-01";"Pøíliv uprchlíkù do Evropy";"19:05";"V Budapešti bivakují tisíce migrantù. Jsme tu jak din v lahvi, øíkají";1;"A150830_170233_zahranicni_fka"
"154";"2015-09-01";"Budapeš";"19:05";"V Budapešti bivakují tisíce migrantù. Jsme tu jak din v lahvi, øíkají";0;"A150830_170233_zahranicni_fka"
"155";"2015-09-01";"Demonstrace";"19:05";"V Budapešti bivakují tisíce migrantù. Jsme tu jak din v lahvi, øíkají";0;"A150830_170233_zahranicni_fka"
"156";"2015-09-01";"Demonstrace";"19:05";"V Budapešti bivakují tisíce migrantù. Jsme tu jak din v lahvi, øíkají";0;"A150830_170233_zahranicni_fka"
"157";"2015-09-01";"Maïarsko";"19:05";"V Budapešti bivakují tisíce migrantù. Jsme tu jak din v lahvi, øíkají";0;"A150830_170233_zahranicni_fka"
"158";"2015-09-01";"Uprchlíci";"19:05";"V Budapešti bivakují tisíce migrantù. Jsme tu jak din v lahvi, øíkají";0;"A150830_170233_zahranicni_fka"
"182";"2015-09-02";"Bøeclav";"01:01";"Uprchlíky vyvedou u na hranici, prùvodèí na nì neškolíme, øíká mluvèí ÈD";1;"A150901_131135_domaci_mav"
"183";"2015-09-02";"Jihomoravskı kraj";"01:01";"Uprchlíky vyvedou u na hranici, prùvodèí na nì neškolíme, øíká mluvèí ÈD";1;"A150901_131135_domaci_mav"
"184";"2015-09-02";"Uprchlíci";"01:01";"Uprchlíky vyvedou u na hranici, prùvodèí na nì neškolíme, øíká mluvèí ÈD";0;"A150901_131135_domaci_mav"
"276";"2015-09-14";"Bøeclav";"13:45";"Moravskou hranici hlídá vrtulník, imigranty mají odradit zapnuté majáky";1;"A150914_133215_brno-zpravy_tr"
"277";"2015-09-14";"Jihomoravskı kraj";"13:45";"Moravskou hranici hlídá vrtulník, imigranty mají odradit zapnuté majáky";1;"A150914_133215_brno-zpravy_tr"
"278";"2015-09-14";"Pøíliv uprchlíkù do Evropy";"13:45";"Moravskou hranici hlídá vrtulník, imigranty mají odradit zapnuté majáky";1;"A150914_133215_brno-zpravy_tr"
"279";"2015-09-14";"Znojmo";"13:45";"Moravskou hranici hlídá vrtulník, imigranty mají odradit zapnuté majáky";1;"A150914_133215_brno-zpravy_tr"
"280";"2015-09-14";"Martin Dvoøák";"13:45";"Moravskou hranici hlídá vrtulník, imigranty mají odradit zapnuté majáky";0;"A150914_133215_brno-zpravy_tr"
"291";"2015-09-01";"Bøeclav";"09:50";"Stát pøipraví pro bìence i bıvalou vìznici Poštorná, budou tam stany";1;"A150901_093243_brno-zpravy_zde"
"292";"2015-09-01";"Jihomoravskı kraj";"09:50";"Stát pøipraví pro bìence i bıvalou vìznici Poštorná, budou tam stany";1;"A150901_093243_brno-zpravy_zde"
"293";"2015-09-01";"Pøíliv uprchlíkù do Evropy";"09:50";"Stát pøipraví pro bìence i bıvalou vìznici Poštorná, budou tam stany";1;"A150901_093243_brno-zpravy_zde"
"294";"2015-09-01";"Vìznice";"09:50";"Stát pøipraví pro bìence i bıvalou vìznici Poštorná, budou tam stany";0;"A150901_093243_brno-zpravy_zde"
