"";"comment";"commenting_person_id";"negative_score";"comment_id";"article_name";"positive_score";"time";"date";"article_id"
"23754";"Tito přemnožili část Srbska, teď se rozlézají po Evropě, kterou spolu s ručníkáři přemnoží také. Ajajaj!
";33819;"0";71588434;"Česko kvůli migrantům z Kosova muselo posílit zařízení pro uprchlíky";0;"15:06";"4.4.2015";"A150312_174532_domaci_neh"
"23755";"A hľadajú nové Kosovo...
";48004;"0";71202089;"Česko kvůli migrantům z Kosova muselo posílit zařízení pro uprchlíky";0;"18:25";"15.3.2015";"A150312_174532_domaci_neh"
"23756";"Nejlépe by udělali kdyby zařízení pro uprchlíky zrušili a poslali je domů. Chtěli samostatné Kosovo mají ho, tak ať ta pakáž ukáže co umí. Rozbít, zničit to je schopnost dnešních vládců  je to jeden větší imbecil než druhý. Ale něco vybudovat, zajistit důstojné žití předkům, následovníkům a současníkům ve svých státech to nejsou schopny.
";84630;"−1";71181056;"Česko kvůli migrantům z Kosova muselo posílit zařízení pro uprchlíky";5;"12:02";"14.3.2015";"A150312_174532_domaci_neh"
"23757";"A co je takhle poslat do USA? Ti to tam vybombardovali jako ostatně všude a pak utečou jinam nebo si válejí šunky ve vzdálené Americe. Všechny migranty bych vozil do USA. Vždyť tak vlastně USA vznikly, z uprchlíků atd.
";37182;"0";71179476;"Česko kvůli migrantům z Kosova muselo posílit zařízení pro uprchlíky";2;"9:32";"14.3.2015";"A150312_174532_domaci_neh"
"23758";"Z ceho vyvozujete, ze bychom meli mit hranici s Madarskem?<img class=""smiley"" src=""http://gidnes.cz/u/disk/kukuc.gif"" alt=""8-o"">
";90379;"0";71169420;"Česko kvůli migrantům z Kosova muselo posílit zařízení pro uprchlíky";0;"16:48";"13.3.2015";"A150312_174532_domaci_neh"
"23759";"Hmm, a jak si to chytani za ruku a posilani nazpatek v praxi predstavujete?
";90379;"0";71169396;"Česko kvůli migrantům z Kosova muselo posílit zařízení pro uprchlíky";0;"16:46";"13.3.2015";"A150312_174532_domaci_neh"
"23760";"Oni tam nemaj komunismus aby jako jeden muz budovali svetle zitrky. Kokainovi baroni ve vlade se jiste emigrovat nechystaj.
";5649;"0";71165469;"Česko kvůli migrantům z Kosova muselo posílit zařízení pro uprchlíky";0;"13:13";"13.3.2015";"A150312_174532_domaci_neh"
"23761";"asi ano ale proč?
";10496;"0";71163394;"Česko kvůli migrantům z Kosova muselo posílit zařízení pro uprchlíky";3;"11:39";"13.3.2015";"A150312_174532_domaci_neh"
"23762";"„Naše zařízení pro uprchlíky nebyla na tento zvýšený počet uchazečů připravena, a proto jsme museli navýšit kapacity jak v Zastávce u Brna tak v Bělé pod Bezdězem,“
tento stát musí dělat co migranti nařizují? Tento stát nemůže chytit milé migranty za ruku, otočit je a poslat odkud přišli? Tento stát je potřebuje? Máme málo svých cikánů se kterými si tento stát už teď očividně neví rady? Jsme skutečně tak hloupí?
";10496;"0";71163345;"Česko kvůli migrantům z Kosova muselo posílit zařízení pro uprchlíky";7;"11:37";"13.3.2015";"A150312_174532_domaci_neh"
"23763";"Je tady někdo, kdo před lety schvaloval a nadšeně obhajoval bombardování s humanitárním podtextem? Pokud ano, považoval bych od něj za velice laskavé, kdyby mi vysvětlil, před čím teď vlastně migranti z Kosova zdrhají (zamyšlení nad tím, jestli to bombardování skutečně mělo nějaký smysl ovšem neočekávám).
";346;"−1";71161820;"Česko kvůli migrantům z Kosova muselo posílit zařízení pro uprchlíky";4;"10:26";"13.3.2015";"A150312_174532_domaci_neh"
"23764";"Možná jsem, nečetl pozorně. Ale tak nějak nechápu, kde máme hranici s Maďarskem?
";20162;"0";71159066;"Česko kvůli migrantům z Kosova muselo posílit zařízení pro uprchlíky";5;"7:58";"13.3.2015";"A150312_174532_domaci_neh"
