"";"comment";"commenting_person_id";"negative_score";"comment_id";"article_name";"positive_score";"time";"date";"article_id"
"1650";"Už nemají definitivně co žrát.
";7620;"0";71784380;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";7;"20:39";"15.4.2015";"A150415_193235_zahranicni_ert"
"1651";"Zase pomoc od EU komunista jeden Reckej... Proc nepozada Putina ten ma napadu dost...
";80642;"−3";71784379;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";2;"20:39";"15.4.2015";"A150415_193235_zahranicni_ert"
"1652";"Řešení je jediné . Postavit na jihu Evropy ""Středomořský val"" a palbou to potápět všechno.
";7620;"−3";71784364;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";25;"20:39";"15.4.2015";"A150415_193235_zahranicni_ert"
"1653";"Tak to určitě, ale až to i tam naplní pookraj,tak je budou posílat k nám.
";60127;"0";71784305;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";13;"20:35";"15.4.2015";"A150415_193235_zahranicni_ert"
"1654";"oni nestojí o nějaké Česko. ty chtějí do Německa, Švédska, Francie
";57128;"0";71784143;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";3;"20:27";"15.4.2015";"A150415_193235_zahranicni_ert"
"1655";"tady jde taky o to , že ti šílení maníci z IS údajně mají v úmyslu použít tento způsob  jak dostat svoje bojovníky do Evropy a až jich tu bude pod pláštíkem chudáků uprchlíků dost ,spustí teror v Evropě zevnitř.  <img class=""smiley"" src=""http://gidnes.cz/u/disk/smile5.gif"" alt="":-("">  já vůbec nechápu kde se to islámské šílení stejně vzalo. co si pamatuju ještě jako dítě, pořád byla někde mela kvůli náboženství , a v islámských státech to bylo vždycky divočejší , ale takový teror a nenávist vůči ostatnímu světu nikdy taková nebyla . <img class=""smiley"" src=""http://gidnes.cz/u/disk/smile5.gif"" alt="":-("">
";57128;"0";71784096;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";20;"20:25";"15.4.2015";"A150415_193235_zahranicni_ert"
"1656";"Uvítat je a pokud si sebou vezou modlitební koberečky tak pro ně logicky musíme postavit mešity, ne? Víte co, mohamedáni? NA*RAT! Obraťte se pro pomoc na Alláha, ne na nevěřící psy z Evropy!
";83652;"−1";71784089;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";30;"20:25";"15.4.2015";"A150415_193235_zahranicni_ert"
"1657";"Podle té mapy,to vypadá, že se sem stěhuje, celá Afrika .<img class=""smiley"" src=""http://gidnes.cz/u/disk/nosmile1.gif"" alt="";-€""> Strašný a když ctu ty nápady Šabatove,tak se bojím, co čeká nás.
";60127;"−1";71783930;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";26;"20:18";"15.4.2015";"A150415_193235_zahranicni_ert"
"1658";"Kaddáfí je zadržoval ve chvíli kdy se pokusili vstoupit do Lybie - každý stát má právo zamezit vstup osob které na svém území nechce... tedy mimo těch v EU...
";51400;"0";71783894;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";5;"20:16";"15.4.2015";"A150415_193235_zahranicni_ert"
"1659";"Africký bordel bude řešit Evropa? Navrhuji podél břehů zřídit široké pásmo min...
";83652;"−1";71783877;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";21;"20:15";"15.4.2015";"A150415_193235_zahranicni_ert"
"1660";"Řecko a Itálie mají armádu a vojenské námořnictvo. Proč nebrání přílivu imigrantů je nepochopitelné. Do Evropy se imigranti nevejdou a udělají zde ""spálenou zemi"" stejně jako to již udělali v Africe. Jsou nezaměstnatelní, nevzdělaní, prostě v civilizaci nepoužitelní. Evropští politici jednají jako by neměli zájem o dobré životní podmínky pro své vlastní děti. Afričanům je možné pomoci v Africe, ale nikoli v Ëvropě.
";90212;"−1";71783818;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";39;"20:12";"15.4.2015";"A150415_193235_zahranicni_ert"
"1661";"Kaddáfí je zadržoval? To jako proti jejich vůli? Něco ve smyslu komunistického Československa - přejdi hranici a dostaneš kulku do hlavy? A nebylo to potlačování lidských práv a svobod?
";53456;"−6";71783692;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";1;"20:06";"15.4.2015";"A150415_193235_zahranicni_ert"
"1662";"EU má své nevyřešené a při současném fungování nevyřešitelné problémy. Mezi tyto problémy se nesmí přidat další, to jest zmiňovaná masivní nelegální imigrace. Mediálně je cíleně, opakovaně podsouváno, že tento problém je náš a musíme ho řešit v rámci Evropy a na náš účet. Není to pravda, problém se nachází k řešení v úrovni ochrany hranic.
";84041;"0";71783658;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";24;"20:05";"15.4.2015";"A150415_193235_zahranicni_ert"
"1663";"No za to mohou poděkovati soudruhům z USA a EU, kteří zničili Libyi, Kadáfi je zadržoval, teď mají volnou cestu
";3654;"−2";71783479;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";23;"19:56";"15.4.2015";"A150415_193235_zahranicni_ert"
"1664";"proč prostě na nějaký čas neuzavřít striktně hranice , posílat všechny obratem domů a hotovo? <img class=""smiley"" src=""http://gidnes.cz/u/disk/smile6.gif"" alt="":-/""> aleEvropa se bojí že by utrpěla humanita a na to i nakonec zajde.<img class=""smiley"" src=""http://gidnes.cz/u/disk/smile5.gif"" alt="":-("">
";57128;"−2";71783449;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";43;"19:55";"15.4.2015";"A150415_193235_zahranicni_ert"
"1665";"Mafie si masti kapsu....
";75577;"0";71783372;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";5;"19:51";"15.4.2015";"A150415_193235_zahranicni_ert"
"1666";"Pokud e  je řešení repatriace tak jistě.
Pokud je řešením reexport  do dalších zemí EU, tak v  žádném případě !
";42343;"−1";71783369;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";13;"19:51";"15.4.2015";"A150415_193235_zahranicni_ert"
"1667";"Proc je neposila zpet?????co umi?co nam prinesou?????proc si pod sebou rezeme vetev???-((((copak jsme nepoucitelni???
";75577;"−1";71783355;"Řecko volá o pomoc s vlnou uprchlíků. Je to problém celé Evropy, tvrdí";12;"19:51";"15.4.2015";"A150415_193235_zahranicni_ert"
