"";"date";"tag";"time";"article_name";"main";"article_id"
"801";"2015-04-12";"Pøíliv uprchlíkù do Evropy";"21:39";"Italskım záchranáøùm se podaøilo zachránit 700 uprchlíkù z Libye";1;"A150412_205808_zahranicni_fer"
"802";"2015-04-12";"Evropa";"21:39";"Italskım záchranáøùm se podaøilo zachránit 700 uprchlíkù z Libye";0;"A150412_205808_zahranicni_fer"
"803";"2015-04-12";"GoPro";"21:39";"Italskım záchranáøùm se podaøilo zachránit 700 uprchlíkù z Libye";0;"A150412_205808_zahranicni_fer"
"804";"2015-04-12";"Itálie";"21:39";"Italskım záchranáøùm se podaøilo zachránit 700 uprchlíkù z Libye";0;"A150412_205808_zahranicni_fer"
"805";"2015-04-12";"Libye";"21:39";"Italskım záchranáøùm se podaøilo zachránit 700 uprchlíkù z Libye";0;"A150412_205808_zahranicni_fer"
"1002";"2015-04-04";"Pøíliv uprchlíkù do Evropy";"16:47";"V Nìmecku nìkdo podpálil ubytovnu pro uprchlíky, mìla otevøít v kvìtnu";1;"A150404_163946_zahranicni_ert"
"1003";"2015-04-04";"Krimi / Èerná kronika ";"16:47";"V Nìmecku nìkdo podpálil ubytovnu pro uprchlíky, mìla otevøít v kvìtnu";0;"A150404_163946_zahranicni_ert"
"1004";"2015-04-04";"Svìt";"16:47";"V Nìmecku nìkdo podpálil ubytovnu pro uprchlíky, mìla otevøít v kvìtnu";0;"A150404_163946_zahranicni_ert"
"1005";"2015-04-04";"Terorismus";"16:47";"V Nìmecku nìkdo podpálil ubytovnu pro uprchlíky, mìla otevøít v kvìtnu";0;"A150404_163946_zahranicni_ert"
"1006";"2015-04-04";"Terorismus, teroristické útoky";"16:47";"V Nìmecku nìkdo podpálil ubytovnu pro uprchlíky, mìla otevøít v kvìtnu";0;"A150404_163946_zahranicni_ert"
"1439";"2015-04-15";"Pøíliv uprchlíkù do Evropy";"07:56";"U pobøeí Libye ztroskotala loï s uprchlíky, zemøelo a 400 lidí";1;"A150415_075043_zahranicni_bse"
"1440";"2015-04-15";"Krimi / Èerná kronika ";"07:56";"U pobøeí Libye ztroskotala loï s uprchlíky, zemøelo a 400 lidí";0;"A150415_075043_zahranicni_bse"
"1441";"2015-04-15";"Svìt";"07:56";"U pobøeí Libye ztroskotala loï s uprchlíky, zemøelo a 400 lidí";0;"A150415_075043_zahranicni_bse"
