"";"date";"tag";"time";"article_name";"main";"article_id"
"5";"2015-07-07";"Cheb";"11:08";"Cizinec pomáhal pøes hranice dvìma Syøanùm. V Chebu je chytila policie";1;"A150707_105610_vary-zpravy_ba"
"6";"2015-07-07";"Karlovarskı kraj";"11:08";"Cizinec pomáhal pøes hranice dvìma Syøanùm. V Chebu je chytila policie";1;"A150707_105610_vary-zpravy_ba"
"7";"2015-07-07";"Pøíliv uprchlíkù do Evropy";"11:08";"Cizinec pomáhal pøes hranice dvìma Syøanùm. V Chebu je chytila policie";1;"A150707_105610_vary-zpravy_ba"
"8";"2015-07-07";"høbitov";"11:08";"Cizinec pomáhal pøes hranice dvìma Syøanùm. V Chebu je chytila policie";0;"A150707_105610_vary-zpravy_ba"
"142";"2015-07-09";"Pøíliv uprchlíkù do Evropy";"07:29";"Ze Sırie uprchly kvùli válce u ètyøi miliony lidí, upozornila OSN";1;"A150709_073050_zahranicni_jj"
"143";"2015-07-09";"Obèanská válka v Sırii";"07:29";"Ze Sırie uprchly kvùli válce u ètyøi miliony lidí, upozornila OSN";0;"A150709_073050_zahranicni_jj"
"165";"2015-07-09";"Pøíliv uprchlíkù do Evropy";"21:06";"Sloitá diskuze bez vısledku. Øešení uprchlické krize ministøi nenašli";1;"A150709_210557_zahranicni_hro"
"166";"2015-07-09";"Evropská unie";"21:06";"Sloitá diskuze bez vısledku. Øešení uprchlické krize ministøi nenašli";0;"A150709_210557_zahranicni_hro"
"594";"2015-07-12";"Pøíliv uprchlíkù do Evropy";"10:14";"Bavoøi pøíliv uprchlíkù nezvládají, policie jim ani nebere otisky prstù";1;"A150712_101538_zahranicni_aha"
"595";"2015-07-03";"Pøíliv uprchlíkù do Evropy";"19:48";"Bìenci z Èervené zemì: z Eritreje prchají i køesané, kteøí mìli smùlu";1;"A150703_122447_zahranicni_jw"
"738";"2015-07-13";"Pøíliv uprchlíkù do Evropy";"13:02";"Maïarsko zaèalo stavìt opevnìní hranic, brání se pøed uprchlíky";1;"A150713_130035_zahranicni_aba"
"739";"2015-07-13";"Evropská unie";"13:02";"Maïarsko zaèalo stavìt opevnìní hranic, brání se pøed uprchlíky";0;"A150713_130035_zahranicni_aba"
"740";"2015-07-13";"Hranièní pøechod";"13:02";"Maïarsko zaèalo stavìt opevnìní hranic, brání se pøed uprchlíky";0;"A150713_130035_zahranicni_aba"
"741";"2015-07-13";"Viktor Orbán";"13:02";"Maïarsko zaèalo stavìt opevnìní hranic, brání se pøed uprchlíky";0;"A150713_130035_zahranicni_aba"
"813";"2015-07-10";"Pøíliv uprchlíkù do Evropy";"14:26";"Uprchlické tábory v Øecku nemají peníze na jídlo, hrozí hladové bouøe";1;"A150710_142754_zahranicni_aha"
"814";"2015-07-10";"Øecko a dluhová krize";"14:26";"Uprchlické tábory v Øecku nemají peníze na jídlo, hrozí hladové bouøe";1;"A150710_142754_zahranicni_aha"
"962";"2015-07-04";"Pøíliv uprchlíkù do Evropy";"16:32";"Do Eurotunelu v Calais vtrhlo na 150 uprchlíkù. Zpozdili dopravu";1;"A150704_155530_zahranicni_fer"
