"";"date";"tag";"time";"article_name";"main";"article_id"
"59";"2015-11-05";"Pøíliv uprchlíkù do Evropy";"21:51";"Kmoníèek: EU uprchlickou krizi nezvládá, hrozí volání po silném vùdci";1;"A151105_203635_domaci_rych"
"60";"2015-11-05";"Evropská unie";"21:51";"Kmoníèek: EU uprchlickou krizi nezvládá, hrozí volání po silném vùdci";0;"A151105_203635_domaci_rych"
"61";"2015-11-05";"Hynek Kmoníèek";"21:51";"Kmoníèek: EU uprchlickou krizi nezvládá, hrozí volání po silném vùdci";0;"A151105_203635_domaci_rych"
"138";"2015-11-10";"Pøíliv uprchlíkù do Evropy";"11:26";"Uprchlická krize posiluje nìmecké euroskeptiky, Merkelová dál ztrácí";1;"A151110_110208_zahranicni_fka"
"139";"2015-11-10";"Angela Merkelová";"11:26";"Uprchlická krize posiluje nìmecké euroskeptiky, Merkelová dál ztrácí";0;"A151110_110208_zahranicni_fka"
"140";"2015-11-10";"Nìmecko";"11:26";"Uprchlická krize posiluje nìmecké euroskeptiky, Merkelová dál ztrácí";0;"A151110_110208_zahranicni_fka"
"181";"2015-11-10";"Pøíliv uprchlíkù do Evropy";"11:56";"Policie v Calais se støetla s davem uprchlíkù, nasadila i slznı plyn";1;"A151110_114843_zahranicni_ert"
"182";"2015-11-10";"kamion";"11:56";"Policie v Calais se støetla s davem uprchlíkù, nasadila i slznı plyn";0;"A151110_114843_zahranicni_ert"
"210";"2015-11-04";"Pøíliv uprchlíkù do Evropy";"11:06";"Bavorsko kvùli pøílivu bìencù chystá ústavní alobu na vládu Merkelové";1;"A151104_110711_zahranicni_aha"
"322";"2015-11-04";"Pøíliv uprchlíkù do Evropy";"06:18";"Švédové se chtìjí zbavit èásti uprchlíkù, ostøe kritizují vıchod EU";1;"A151104_060800_zahranicni_bur"
"323";"2015-11-04";"Evropská unie";"06:18";"Švédové se chtìjí zbavit èásti uprchlíkù, ostøe kritizují vıchod EU";0;"A151104_060800_zahranicni_bur"
"324";"2015-11-09";"Pøíliv uprchlíkù do Evropy";"13:43";"Zaorálek: Evropa je pøetíená, integraci další vlny uprchlíkù nezvládne";1;"A151109_134359_domaci_kop"
"325";"2015-11-09";"Lubomír Zaorálek";"13:43";"Zaorálek: Evropa je pøetíená, integraci další vlny uprchlíkù nezvládne";0;"A151109_134359_domaci_kop"
"336";"2015-11-09";"Pøíliv uprchlíkù do Evropy";"13:37";"Západ na Maïary vøískal a teï staví vlastní ploty, diví se slovenskı ministr";1;"A151109_125430_zahranicni_mlb"
"447";"2015-11-05";"Pøíliv uprchlíkù do Evropy";"11:59";"Ani zima uprchlíky nezastaví, tuší úøady a shánìjí peníze na deky";1;"A151105_120032_zahranicni_aha"
"448";"2015-11-05";"Evropská komise";"11:59";"Ani zima uprchlíky nezastaví, tuší úøady a shánìjí peníze na deky";0;"A151105_120032_zahranicni_aha"
"449";"2015-11-05";"Evropská unie";"11:59";"Ani zima uprchlíky nezastaví, tuší úøady a shánìjí peníze na deky";0;"A151105_120032_zahranicni_aha"
"450";"2015-11-05";"Recep Erdogan";"11:59";"Ani zima uprchlíky nezastaví, tuší úøady a shánìjí peníze na deky";0;"A151105_120032_zahranicni_aha"
"486";"2015-11-10";"Pøíliv uprchlíkù do Evropy";"16:48";"V Bìlé mohlo dojít k excesùm, øekl k situaci uprchlíkù úøedník vnitra";1;"A151110_164702_domaci_kop"
"487";"2015-11-10";"Anna Šabatová";"16:48";"V Bìlé mohlo dojít k excesùm, øekl k situaci uprchlíkù úøedník vnitra";0;"A151110_164702_domaci_kop"
"518";"2015-11-05";"Pøíliv uprchlíkù do Evropy";"15:14";"S uprchlíky nejde vyjít, nemají návyky, stìovali si pracovníci z Bìlé";1;"A151105_151020_domaci_cen"
"519";"2015-11-05";"Bezdìz";"15:14";"S uprchlíky nejde vyjít, nemají návyky, stìovali si pracovníci z Bìlé";0;"A151105_151020_domaci_cen"
"520";"2015-11-05";"Milan Chovanec";"15:14";"S uprchlíky nejde vyjít, nemají návyky, stìovali si pracovníci z Bìlé";0;"A151105_151020_domaci_cen"
"542";"2015-11-06";"Pøíliv uprchlíkù do Evropy";"10:52";"Uprchlíky u nemáme kam dávat, stìují si Švédové a staví pro nì stany";1;"A151106_105340_zahranicni_aha"
"600";"2015-11-11";"Pøíliv uprchlíkù do Evropy";"08:15";"Sobotka na uprchlickém summitu zastoupí i Polsko. Premiérka nemá èas";1;"A151111_080806_zahranicni_fer"
"601";"2015-11-11";"Bohuslav Sobotka";"08:15";"Sobotka na uprchlickém summitu zastoupí i Polsko. Premiérka nemá èas";0;"A151111_080806_zahranicni_fer"
"602";"2015-11-11";"Evropská unie";"08:15";"Sobotka na uprchlickém summitu zastoupí i Polsko. Premiérka nemá èas";0;"A151111_080806_zahranicni_fer"
"603";"2015-11-11";"Ewa Kopaczová";"08:15";"Sobotka na uprchlickém summitu zastoupí i Polsko. Premiérka nemá èas";0;"A151111_080806_zahranicni_fer"
"604";"2015-11-11";"Malta";"08:15";"Sobotka na uprchlickém summitu zastoupí i Polsko. Premiérka nemá èas";0;"A151111_080806_zahranicni_fer"
"650";"2015-11-06";"Pøíliv uprchlíkù do Evropy";"16:04";"Malí Syøané se mìli léèit v Motole, rodina obratem odjela do Nìmecka";1;"A151106_160518_domaci_jj"
"704";"2015-11-06";"Pøíliv uprchlíkù do Evropy";"22:25";"Vìtšina Syøanù si k nám u nebude moci zvát pøíbuzné, zvaují Nìmci";1;"A151106_222338_zahranicni_ane"
"717";"2015-11-08";"Pøíliv uprchlíkù do Evropy";"07:59";"Nìmci pro bìence vyklízejí lodì a kostely, zvaují stavbu Nového Aleppa";1;"A151102_192234_zahranicni_mlb"
"786";"2015-11-08";"Pøíliv uprchlíkù do Evropy";"22:42";"Docházejí nám kapacity pro uprchlíky, varuje stráce nìmecké kasy";1;"A151108_222038_zahranicni_fka"
"787";"2015-11-08";"Angela Merkelová";"22:42";"Docházejí nám kapacity pro uprchlíky, varuje stráce nìmecké kasy";0;"A151108_222038_zahranicni_fka"
"788";"2015-11-08";"Nìmecko";"22:42";"Docházejí nám kapacity pro uprchlíky, varuje stráce nìmecké kasy";0;"A151108_222038_zahranicni_fka"
"789";"2015-11-08";"Wolfgang Schäuble";"22:42";"Docházejí nám kapacity pro uprchlíky, varuje stráce nìmecké kasy";0;"A151108_222038_zahranicni_fka"
"811";"2015-11-08";"Pøíliv uprchlíkù do Evropy";"20:03";"Volby v Chorvatsku vyhrála pravicová opozice, rozhodl postoj k migraci";1;"A151108_195144_zahranicni_fka"
"812";"2015-11-08";"Evropská unie";"20:03";"Volby v Chorvatsku vyhrála pravicová opozice, rozhodl postoj k migraci";0;"A151108_195144_zahranicni_fka"
"813";"2015-11-08";"Chorvatsko";"20:03";"Volby v Chorvatsku vyhrála pravicová opozice, rozhodl postoj k migraci";0;"A151108_195144_zahranicni_fka"
"814";"2015-11-08";"Nezamìstnanost";"20:03";"Volby v Chorvatsku vyhrála pravicová opozice, rozhodl postoj k migraci";0;"A151108_195144_zahranicni_fka"
"815";"2015-11-08";"Parlamentní volby";"20:03";"Volby v Chorvatsku vyhrála pravicová opozice, rozhodl postoj k migraci";0;"A151108_195144_zahranicni_fka"
"816";"2015-11-08";"Státní dluh";"20:03";"Volby v Chorvatsku vyhrála pravicová opozice, rozhodl postoj k migraci";0;"A151108_195144_zahranicni_fka"
"857";"2015-11-04";"Pøíliv uprchlíkù do Evropy";"20:44";"Hlavnì, a to nezní jako vìzení. Nìmci se pøou, kde zadrovat migranty";1;"A151104_184301_zahranicni_mlb"
"935";"2015-11-05";"Pøíliv uprchlíkù do Evropy";"09:24";"Høbitovy na Lesbu jsou plné, utonulé bìence skladují v chladícím voze";1;"A151104_144658_zahranicni_aba"
"936";"2015-11-05";"høbitov";"09:24";"Høbitovy na Lesbu jsou plné, utonulé bìence skladují v chladícím voze";0;"A151104_144658_zahranicni_aba"
"985";"2015-11-03";"Pøíliv uprchlíkù do Evropy";"19:41";"Zimu nepøeijete. Ve Švédsku hoøí azylová centra, populisté sbírají body";1;"A151103_132812_zahranicni_ert"
"998";"2015-11-02";"Pøíliv uprchlíkù do Evropy";"11:48";"V øíjnu pøiplulo do Evropy tolik uprchlíkù jako za celı loòskı rok";1;"A151102_114227_zahranicni_ert"
"1019";"2015-11-02";"Pøíliv uprchlíkù do Evropy";"17:17";"Rakušané zpøísní podmínky azylu, bude platit jen na tøi roky";1;"A151102_171113_zahranicni_ale"
"1020";"2015-11-02";"poprava";"17:17";"Rakušané zpøísní podmínky azylu, bude platit jen na tøi roky";0;"A151102_171113_zahranicni_ale"
"1021";"2015-11-02";"Rakousko";"17:17";"Rakušané zpøísní podmínky azylu, bude platit jen na tøi roky";0;"A151102_171113_zahranicni_ale"
"1023";"2015-11-03";"Frıdek-Místek";"19:24";"Bìenci nechtìjí bıt u nás zavøení, øíká starostka Vyšních Lhot";1;"A151102_2202737_ostrava-zpravy_jog"
"1024";"2015-11-03";"Moravskoslezskı kraj";"19:24";"Bìenci nechtìjí bıt u nás zavøení, øíká starostka Vyšních Lhot";1;"A151102_2202737_ostrava-zpravy_jog"
"1025";"2015-11-03";"Pøíliv uprchlíkù do Evropy";"19:24";"Bìenci nechtìjí bıt u nás zavøení, øíká starostka Vyšních Lhot";1;"A151102_2202737_ostrava-zpravy_jog"
"1133";"2015-11-01";"Pøíliv uprchlíkù do Evropy";"18:21";"Èeští policisté u hlídají maïarskou hranici, zasahovat zatím nemuseli";1;"A151101_164547_zahranicni_ane"
"1134";"2015-11-01";"Maïarsko";"18:21";"Èeští policisté u hlídají maïarskou hranici, zasahovat zatím nemuseli";0;"A151101_164547_zahranicni_ane"
"1161";"2015-11-03";"Pøíliv uprchlíkù do Evropy";"10:45";"Brit chtìl z Calais zachránit malou uprchlici, hrozí mu aláø";1;"A151103_102417_zahranicni_ert"
"1212";"2015-11-02";"Pøíliv uprchlíkù do Evropy";"14:47";"Stárnoucí Nìmecko nespasí ani statisíce imigrantù, tuší prognostici";1;"A151102_144023_zahranicni_ert"
"1213";"2015-11-02";"Stárnutí populace";"14:47";"Stárnoucí Nìmecko nespasí ani statisíce imigrantù, tuší prognostici";0;"A151102_144023_zahranicni_ert"
"1217";"2015-11-01";"Pøíliv uprchlíkù do Evropy";"13:24";"Hlavnì ne Maïarsko, øíkají Syøané èekající na rakouskı azyl na Slovensku";1;"A151030_173015_zahranicni_ale"
"1218";"2015-11-01";"Rakousko";"13:24";"Hlavnì ne Maïarsko, øíkají Syøané èekající na rakouskı azyl na Slovensku";0;"A151030_173015_zahranicni_ale"
"1219";"2015-11-01";"Slovensko";"13:24";"Hlavnì ne Maïarsko, øíkají Syøané èekající na rakouskı azyl na Slovensku";0;"A151030_173015_zahranicni_ale"
"1266";"2015-11-02";"Pøíliv uprchlíkù do Evropy";"12:24";"Vláda pošle policisty i vojáky do Slovinska, peníze na pomoc Syøanùm";1;"A151102_122435_domaci_kop"
"1267";"2015-11-02";"Evropská unie";"12:24";"Vláda pošle policisty i vojáky do Slovinska, peníze na pomoc Syøanùm";0;"A151102_122435_domaci_kop"
"1268";"2015-11-02";"Milan Chovanec";"12:24";"Vláda pošle policisty i vojáky do Slovinska, peníze na pomoc Syøanùm";0;"A151102_122435_domaci_kop"
"1295";"2015-11-19";"Pøíliv uprchlíkù do Evropy";"11:58";"Pomáhejte uprchlíkùm a nespojujte je s terorismem, vyzıvá vlády HRW";1;"A151119_112321_zahranicni_rych"
"1296";"2015-11-19";"Situace po teroristickıch útocích v Paøíi";"11:58";"Pomáhejte uprchlíkùm a nespojujte je s terorismem, vyzıvá vlády HRW";1;"A151119_112321_zahranicni_rych"
"1297";"2015-11-19";"Terorismus";"11:58";"Pomáhejte uprchlíkùm a nespojujte je s terorismem, vyzıvá vlády HRW";0;"A151119_112321_zahranicni_rych"
"1479";"2015-11-15";"Pøíliv uprchlíkù do Evropy";"13:16";"Sobotka: Schengen musíme pøed teroristy lépe chránit. Juncker mì zklamal";1;"A151115_123150_domaci_cen"
"1480";"2015-11-15";"Situace po teroristickıch útocích v Paøíi";"13:16";"Sobotka: Schengen musíme pøed teroristy lépe chránit. Juncker mì zklamal";1;"A151115_123150_domaci_cen"
"1481";"2015-11-15";"Bohuslav Sobotka";"13:16";"Sobotka: Schengen musíme pøed teroristy lépe chránit. Juncker mì zklamal";0;"A151115_123150_domaci_cen"
"1482";"2015-11-15";"Èeská televize";"13:16";"Sobotka: Schengen musíme pøed teroristy lépe chránit. Juncker mì zklamal";0;"A151115_123150_domaci_cen"
"1483";"2015-11-15";"ÈSSD";"13:16";"Sobotka: Schengen musíme pøed teroristy lépe chránit. Juncker mì zklamal";0;"A151115_123150_domaci_cen"
"1484";"2015-11-15";"Hranièní pøechod";"13:16";"Sobotka: Schengen musíme pøed teroristy lépe chránit. Juncker mì zklamal";0;"A151115_123150_domaci_cen"
"1485";"2015-11-15";"Islámskı stát";"13:16";"Sobotka: Schengen musíme pøed teroristy lépe chránit. Juncker mì zklamal";0;"A151115_123150_domaci_cen"
"1486";"2015-11-15";"Otázky Václava Moravce";"13:16";"Sobotka: Schengen musíme pøed teroristy lépe chránit. Juncker mì zklamal";0;"A151115_123150_domaci_cen"
